match_no,stage,group_or_round,match_label,team1,team2,pdf_filename,pdf_url,local_pdf_path,match_end_minute_est,players_parsed
1,Group stage,Group A,MEX Mexico 2 - 0 South Africa RSA,Mexico,South Africa,PMSR-M01 MEX V RSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01%20MEX%20V%20RSA.pdf,D:\fifa_2026_match_report_pdfs\M01 - MEX Mexico 2 - 0 South Africa RSA.pdf,92,52
2,Group stage,Group A,KOR Korea Republic 2 - 1 Czechia CZE,Korea Republic,Czechia,PMSR-M02 KOR V CZE .pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02%20KOR%20V%20CZE%20.pdf,D:\fifa_2026_match_report_pdfs\M02 - KOR Korea Republic 2 - 1 Czechia CZE.pdf,96,52
3,Group stage,Group B,CAN Canada 1 - 1 Bosnia and Herzegovina BIH,Canada,Bosnia and Herzegovina,PMSR-M03-CAN-V-BIH-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,D:\fifa_2026_match_report_pdfs\M03 - CAN Canada 1 - 1 Bosnia and Herzegovina BIH.pdf,93,52
4,Group stage,Group D,USA USA 4 - 1 Paraguay PAR,USA,Paraguay,PMSR-M04-USA-V-PAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,D:\fifa_2026_match_report_pdfs\M04 - USA USA 4 - 1 Paraguay PAR.pdf,93,52
5,Group stage,Group C,HAI Haiti 0 - 1 Scotland SCO,Haiti,Scotland,PMSR-M05-HAI-V-SCO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,D:\fifa_2026_match_report_pdfs\M05 - HAI Haiti 0 - 1 Scotland SCO.pdf,95,52
6,Group stage,Group D,AUS Australia 2 - 0 Türkiye TUR,Australia,Türkiye,PMSR-M06-AUS-V-TUR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf,D:\fifa_2026_match_report_pdfs\M06 - AUS Australia 2 - 0 Trkiye TUR.pdf,90,52
7,Group stage,Group C,BRA Brazil 1 - 1 Morocco MAR,Brazil,Morocco,PMSR-M07-BRA-V-MAR POST-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR%20POST-V2.pdf,D:\fifa_2026_match_report_pdfs\M07 - BRA Brazil 1 - 1 Morocco MAR.pdf,90,52
8,Group stage,Group B,QAT Qatar 1 - 1 Switzerland SUI,Qatar,Switzerland,PMSR-M08-QAT-V-SUI.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M08-QAT-V-SUI.pdf,D:\fifa_2026_match_report_pdfs\M08 - QAT Qatar 1 - 1 Switzerland SUI.pdf,90,52
9,Group stage,Group E,CIV Côte d'Ivoire 1 - 0 Ecuador ECU,Côte d'Ivoire,Ecuador,PMSR-M09-CIV-V-ECU.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M09-CIV-V-ECU.pdf,D:\fifa_2026_match_report_pdfs\M09 - CIV Cte dIvoire 1 - 0 Ecuador ECU.pdf,90,52
10,Group stage,Group E,GER Germany 7 - 1 Curaçao CUW,Germany,Curaçao,PMSR-M10-GER-V-CUW-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M10-GER-V-CUW-V2.pdf,D:\fifa_2026_match_report_pdfs\M10 - GER Germany 7 - 1 Curaao CUW.pdf,90,52
11,Group stage,Group F,NED Netherlands 2 - 2 Japan JPN,Netherlands,Japan,PMSR-M11-NED-V-JPN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M11-NED-V-JPN.pdf,D:\fifa_2026_match_report_pdfs\M11 - NED Netherlands 2 - 2 Japan JPN.pdf,91,52
12,Group stage,Group F,SWE Sweden 5 - 1 Tunisia TUN,Sweden,Tunisia,PMSR-M12-SWE-V-TUN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M12-SWE-V-TUN.pdf,D:\fifa_2026_match_report_pdfs\M12 - SWE Sweden 5 - 1 Tunisia TUN.pdf,90,52
13,Group stage,Group H,KSA Saudi Arabia 1 - 1 Uruguay URU,Saudi Arabia,Uruguay,PMSR-M13-KSA-V-URU.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M13-KSA-V-URU.pdf,D:\fifa_2026_match_report_pdfs\M13 - KSA Saudi Arabia 1 - 1 Uruguay URU.pdf,90,52
14,Group stage,Group H,ESP Spain 0 - 0 Cabo Verde CPV,Spain,Cabo Verde,PMSR-M14-ESP-V-CPV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M14-ESP-V-CPV.pdf,D:\fifa_2026_match_report_pdfs\M14 - ESP Spain 0 - 0 Cabo Verde CPV.pdf,93,52
15,Group stage,Group G,IRN IR Iran 2 - 2 New Zealand NZL,IR Iran,New Zealand,PMSR-M15-IRN-V-NZL.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M15-IRN-V-NZL.pdf,D:\fifa_2026_match_report_pdfs\M15 - IRN IR Iran 2 - 2 New Zealand NZL.pdf,90,52
16,Group stage,Group G,BEL Belgium 1 - 1 Egypt EGY,Belgium,Egypt,PMSR-M16-BEL-V-EGY.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M16-BEL-V-EGY.pdf,D:\fifa_2026_match_report_pdfs\M16 - BEL Belgium 1 - 1 Egypt EGY.pdf,90,52
17,Group stage,Group I,FRA France 3 - 1 Senegal SEN,France,Senegal,PMSR-M17-FRA-V-SEN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M17-FRA-V-SEN.pdf,D:\fifa_2026_match_report_pdfs\M17 - FRA France 3 - 1 Senegal SEN.pdf,90,52
18,Group stage,Group I,IRQ Iraq 1 - 4 Norway NOR,Iraq,Norway,PMSR-M18-IRQ-V-NOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M18-IRQ-V-NOR.pdf,D:\fifa_2026_match_report_pdfs\M18 - IRQ Iraq 1 - 4 Norway NOR.pdf,90,52
19,Group stage,Group J,ARG Argentina 3 - 0 Algeria ALG,Argentina,Algeria,PMSR-M19-ARG-V-ALG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,D:\fifa_2026_match_report_pdfs\M19 - ARG Argentina 3 - 0 Algeria ALG.pdf,90,52
20,Group stage,Group J,AUT Austria 3 - 1 Jordan JOR,Austria,Jordan,PMSR-M20-AUT-V-JOR-V3.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M20-AUT-V-JOR-V3.pdf,D:\fifa_2026_match_report_pdfs\M20 - AUT Austria 3 - 1 Jordan JOR.pdf,90,52
21,Group stage,Group L,GHA Ghana 1 - 0 Panama PAN,Ghana,Panama,PMSR-M21-GHA-V-PAN-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M21-GHA-V-PAN-V2.pdf,D:\fifa_2026_match_report_pdfs\M21 - GHA Ghana 1 - 0 Panama PAN.pdf,99,52
22,Group stage,Group L,ENG England 4 - 2 Croatia CRO,England,Croatia,PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,D:\fifa_2026_match_report_pdfs\M22 - ENG England 4 - 2 Croatia CRO.pdf,90,52
23,Group stage,Group K,POR Portugal 1 - 1 Congo DR COD,Portugal,Congo DR,PMSR-M23-POR-V-COD.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M23-POR-V-COD.pdf,D:\fifa_2026_match_report_pdfs\M23 - POR Portugal 1 - 1 Congo DR COD.pdf,92,52
24,Group stage,Group K,UZB Uzbekistan 1 - 3 Colombia COL,Uzbekistan,Colombia,PMSR-M24-UZB-V-COL-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M24-UZB-V-COL-V2.pdf,D:\fifa_2026_match_report_pdfs\M24 - UZB Uzbekistan 1 - 3 Colombia COL.pdf,90,52
25,Group stage,Group A,CZE Czechia 1 - 1 South Africa RSA,Czechia,South Africa,PMSR-M25-CZE-V-RSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M25-CZE-V-RSA.pdf,D:\fifa_2026_match_report_pdfs\M25 - CZE Czechia 1 - 1 South Africa RSA.pdf,90,50
26,Group stage,Group B,SUI Switzerland 4 - 1 Bosnia and Herzegovina BIH,Switzerland,Bosnia and Herzegovina,PMSR-M26-SUI-V-BIH.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M26-SUI-V-BIH.pdf,D:\fifa_2026_match_report_pdfs\M26 - SUI Switzerland 4 - 1 Bosnia and Herzegovina BIH.pdf,90,52
27,Group stage,Group B,CAN Canada 6 - 0 Qatar QAT,Canada,Qatar,PMSR-M27-CAN-V-QAT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M27-CAN-V-QAT.pdf,D:\fifa_2026_match_report_pdfs\M27 - CAN Canada 6 - 0 Qatar QAT.pdf,90,52
28,Group stage,Group A,MEX Mexico 1 - 0 Korea Republic KOR,Mexico,Korea Republic,PMSR-M28-MEX-V-KOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf,D:\fifa_2026_match_report_pdfs\M28 - MEX Mexico 1 - 0 Korea Republic KOR.pdf,90,51
29,Group stage,Group C,BRA Brazil 3 - 0 Haiti HAI,Brazil,Haiti,PMSR-M29-BRA-V-HAI.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M29-BRA-V-HAI.pdf,D:\fifa_2026_match_report_pdfs\M29 - BRA Brazil 3 - 0 Haiti HAI.pdf,90,52
30,Group stage,Group C,SCO Scotland 0 - 1 Morocco MAR,Scotland,Morocco,PMSR-M30-SCO-V-MAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M30-SCO-V-MAR.pdf,D:\fifa_2026_match_report_pdfs\M30 - SCO Scotland 0 - 1 Morocco MAR.pdf,90,52
31,Group stage,Group D,TUR Türkiye 0 - 1 Paraguay PAR,Türkiye,Paraguay,PMSR-M31-TUR-V-PAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M31-TUR-V-PAR.pdf,D:\fifa_2026_match_report_pdfs\M31 - TUR Trkiye 0 - 1 Paraguay PAR.pdf,90,52
32,Group stage,Group D,USA USA 2 - 0 Australia AUS,USA,Australia,PMSR-M32-USA-V-AUS.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M32-USA-V-AUS.pdf,D:\fifa_2026_match_report_pdfs\M32 - USA USA 2 - 0 Australia AUS.pdf,93,52
33,Group stage,Group E,GER Germany 2 - 1 Côte d'Ivoire CIV,Germany,Côte d'Ivoire,PMSR-M33-GER-V-CIV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M33-GER-V-CIV.pdf,D:\fifa_2026_match_report_pdfs\M33 - GER Germany 2 - 1 Cte dIvoire CIV.pdf,90,52
34,Group stage,Group E,ECU Ecuador 0 - 0 Curaçao CUW,Ecuador,Curaçao,PMSR-M34-ECU-V-CUW.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M34-ECU-V-CUW.pdf,D:\fifa_2026_match_report_pdfs\M34 - ECU Ecuador 0 - 0 Curaao CUW.pdf,91,52
35,Group stage,Group F,NED Netherlands 5 - 1 Sweden SWE,Netherlands,Sweden,PMSR-M35-NED-V-SWE.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M35-NED-V-SWE.pdf,D:\fifa_2026_match_report_pdfs\M35 - NED Netherlands 5 - 1 Sweden SWE.pdf,90,52
36,Group stage,Group F,TUN Tunisia 0 - 4 Japan JPN,Tunisia,Japan,PMSR-M36-TUN-V-JPN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M36-TUN-V-JPN.pdf,D:\fifa_2026_match_report_pdfs\M36 - TUN Tunisia 0 - 4 Japan JPN.pdf,90,52
37,Group stage,Group H,URU Uruguay 2 - 2 Cabo Verde CPV,Uruguay,Cabo Verde,PMSR-M37-URU-V-CPV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M37-URU-V-CPV.pdf,D:\fifa_2026_match_report_pdfs\M37 - URU Uruguay 2 - 2 Cabo Verde CPV.pdf,93,52
38,Group stage,Group H,ESP Spain 4 - 0 Saudi Arabia KSA,Spain,Saudi Arabia,PMSR-M38-ESP-V-KSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M38-ESP-V-KSA.pdf,D:\fifa_2026_match_report_pdfs\M38 - ESP Spain 4 - 0 Saudi Arabia KSA.pdf,90,52
39,Group stage,Group G,BEL Belgium 0 - 0 IR Iran IRN,Belgium,IR Iran,PMSR-M39-BEL-V-IRN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M39-BEL-V-IRN.pdf,D:\fifa_2026_match_report_pdfs\M39 - BEL Belgium 0 - 0 IR Iran IRN.pdf,90,52
40,Group stage,Group G,NZL New Zealand 1 - 3 Egypt EGY,New Zealand,Egypt,PMSR-M40-NZL-V-EGY.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M40-NZL-V-EGY.pdf,D:\fifa_2026_match_report_pdfs\M40 - NZL New Zealand 1 - 3 Egypt EGY.pdf,90,52
41,Group stage,Group I,NOR Norway 3 - 2 Senegal SEN,Norway,Senegal,PMSR-M41-NOR-V-SEN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M41-NOR-V-SEN.pdf,D:\fifa_2026_match_report_pdfs\M41 - NOR Norway 3 - 2 Senegal SEN.pdf,90,52
42,Group stage,Group I,FRA France 3 - 0 Iraq IRQ,France,Iraq,PMSR-M42-FRA-V-IRQ.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M42-FRA-V-IRQ.pdf,D:\fifa_2026_match_report_pdfs\M42 - FRA France 3 - 0 Iraq IRQ.pdf,90,52
43,Group stage,Group J,ARG Argentina 2 - 0 Austria AUT,Argentina,Austria,PMSR-M43-ARG-V-AUT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,D:\fifa_2026_match_report_pdfs\M43 - ARG Argentina 2 - 0 Austria AUT.pdf,92,52
44,Group stage,Group J,JOR Jordan 1 - 2 Algeria ALG,Jordan,Algeria,PMSR-M44-JOR-V-ALG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M44-JOR-V-ALG.pdf,D:\fifa_2026_match_report_pdfs\M44 - JOR Jordan 1 - 2 Algeria ALG.pdf,90,52
45,Group stage,Group L,ENG England 0 - 0 Ghana GHA,England,Ghana,PMSR-M45-ENG-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M45-ENG-V-GHA.pdf,D:\fifa_2026_match_report_pdfs\M45 - ENG England 0 - 0 Ghana GHA.pdf,90,52
46,Group stage,Group L,PAN Panama 0 - 1 Croatia CRO,Panama,Croatia,PMSR-M46-PAN-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M46-PAN-V-CRO.pdf,D:\fifa_2026_match_report_pdfs\M46 - PAN Panama 0 - 1 Croatia CRO.pdf,92,52
47,Group stage,Group K,POR Portugal 5 - 0 Uzbekistan UZB,Portugal,Uzbekistan,PMSR-M47-POR-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M47-POR-V-GHA.pdf,D:\fifa_2026_match_report_pdfs\M47 - POR Portugal 5 - 0 Uzbekistan UZB.pdf,90,52
48,Group stage,Group K,COL Colombia 1 - 0 Congo DR COD,Colombia,Congo DR,PMSR-M48-COL-V-COD-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M48-COL-V-COD-V2.pdf,D:\fifa_2026_match_report_pdfs\M48 - COL Colombia 1 - 0 Congo DR COD.pdf,94,52
